MS,MS Name,CCI,Ver,Title,Fund,Priority,TO,To short,Category of region,EAFRD MEASURE,EAFRD FA,EU Amount,National Amount,Total Amount,EU co-financing,TO long
DE,Germany,2014DE06RDRP010,1.5,Germany - Rural Development Programme (Regional) - Hesse,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,200000,50000,250000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP011,1.3,Germany - Rural Development Programme (Regional) - Mecklenburg-Vorpommern,EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,3500100,1166700,4666800,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP011,1.3,Germany - Rural Development Programme (Regional) - Mecklenburg-Vorpommern,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,1000000,111111.11,1111111.11,90%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP011,1.3,Germany - Rural Development Programme (Regional) - Mecklenburg-Vorpommern,EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,3802400,422488.89,4224888.89,90%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP011,1.3,Germany - Rural Development Programme (Regional) - Mecklenburg-Vorpommern,EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,10500300,3500100,14000400,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP012,1.6,Germany - Rural Development Programme (Regional) - Lower Saxony + Bremen,EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,5318000,4319136.86,9637136.86,55.18%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP012,1.6,Germany - Rural Development Programme (Regional) - Lower Saxony + Bremen,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,14000000,3500000,17500000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP012,1.6,Germany - Rural Development Programme (Regional) - Lower Saxony + Bremen,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,9000000,2250000,11250000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP012,1.6,Germany - Rural Development Programme (Regional) - Lower Saxony + Bremen,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,18740000,4685000,23425000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP015,1.3,Germany - Rural Development Programme (Regional) - North Rhine-Westphalia,EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,3300000,4033333.33,7333333.33,45%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP015,1.3,Germany - Rural Development Programme (Regional) - North Rhine-Westphalia,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,6595000,2826428.57,9421428.57,70%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP015,1.3,Germany - Rural Development Programme (Regional) - North Rhine-Westphalia,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,8945000,3833571.43,12778571.43,70%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P2,1,Research & Innovation,n.a.,M02,FA_2A,600000,200000,800000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,1500000,500000,2000000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P3,1,Research & Innovation,n.a.,M02,FA_3A,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P3,1,Research & Innovation,n.a.,M16,FA_3A,1500000,500000,2000000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P4,1,Research & Innovation,n.a.,M02,FA_P4,600000,200000,800000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,625000,208333.33,833333.33,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5A,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5B,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5C,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5D,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M02,FA_5E,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5A,375000,125000,500000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5B,375000,125000,500000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5C,375000,125000,500000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5D,375000,125000,500000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5E,375000,125000,500000,75%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP017,1.4,Germany - Rural Development Programme (Regional) - Rhineland-Palatinate,EAFRD,P6,1,Research & Innovation,n.a.,M02,FA_6A,400000,0,400000,100%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP019,1.3,Germany - Rural Development Programme (Regional) - Saxony,EAFRD,P2,1,Research & Innovation,n.a.,M16,FA_2A,5600000,1400000,7000000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP019,1.3,Germany - Rural Development Programme (Regional) - Saxony,EAFRD,P4,1,Research & Innovation,n.a.,M16,FA_P4,2000000,500000,2500000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP019,1.3,Germany - Rural Development Programme (Regional) - Saxony,EAFRD,P5,1,Research & Innovation,n.a.,M16,FA_5C,272000,68000,340000,80%,"Strengthening research, technological development and innovation"
DE,Germany,2014DE06RDRP020,2.2,Germany - Rural Development Programme (Regional) - Saxony-Anhalt,EAFRD,P6,1,Research & Innovation,n.a.,M16,FA_6B,10000000,1111111.11,11111111.11,90%,"Strengthening research, technological development and innovation"
