EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;10000;Ingresos de Presidencia y Justicia;Ingresos de Presidencia y Justicia
2006;1001;S.G.T. Presidencia;Secretaría General Técnica de Presidencia
2006;10010;S.G.T. Presidencia;Secretaría General Técnica de Presidencia
2006;1002;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2006;10020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2006;1003;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2006;10030;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2006;1004;D.G. de Relaciones Institucionales;D.G. de Relaciones Institucionales
2006;10040;D.G. de Relaciones Institucionales;D.G. de Relaciones Institucionales
2006;1005;D.G. de Participación Ciudadana;Dirección General de Participación Ciudadana
2006;10050;D.G. de Participación Ciudadana;Dirección General de Participación Ciudadana
2006;1006;Dirección General de la Función Pública;Dirección General de la Función Pública
2006;10060;Dirección General de la Función Pública;Dirección General de la Función Pública
2006;1007;D.G. de Acción Exterior;Dirección General de Acción Exterior
2006;10070;D.G. de Acción Exterior;Dirección General de Acción Exterior
2006;11;Presidencia y Relaciones Institucionales;Presidencia y Relaciones Institucionales
2006;1100;Ingresos de Presidencia y RR.II.;Ingresos de Presidencia y Relaciones Institucionales
2006;11000;Ingresos Presidencia y Relaciones Instit;Ingresos de Presidencia y Relaciones Institucionales
2006;1101;S.G.T. de Presidencia y RR.II.;Secretaría General Técnica de Presidencia y Relaciones Institucionales
2006;11010;S.G.T. de Presidencia y RR.II.;Secretaría General Técnica de Presidencia y Relaciones Institucionales
2006;1102;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2006;11020;Dirección General de Servicios Jurídicos;Dirección General de Servicios Jurídicos
2006;1103;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2006;11030;D.G. Organización,Inspección y Servicios;Dirección General de Organización, Inspección y Servicios
2006;1104;D.G.Admón Local y Política Territorial;Dirección General de Administración Local y Política Territorial
2006;11040;D.G.Admón Local y Política Territorial;Dirección General de Administración Local y Política Territorial
2006;1105;Dirección General de Interior;Dirección General de Interior
2006;11050;Dirección General de Interior;Dirección General de Interior
2006;1106;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2006;11060;Delegación Territorial de Huesca;Delegación Territorial de Huesca
2006;1107;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2006;11070;Delegación Territorial de Teruel;Delegación Territorial de Teruel
2006;1111;Política Territorial,Justicia e Interior;Política Territorial,Justicia e Interior
2006;11110;Política Territorial,Justicia e Interior;Política Territorial,Justicia e Interior
2006;12;Economía, Hacienda y Empleo;Economía, Hacienda y Empleo
2006;1200;Ingresos de Hacienda y Adm. Pública;Ingresos de Hacienda y Administración Pública
2006;12000;Ingresos de Hacienda y Adm. Pública;Hacienda y Administración Pública
2006;1201;S.G.T. de Economía, Hacienda y Empleo;Secretaría General Técnica de Economía, Hacienda y Empleo
2006;12010;S.G.T. de Economía, Hacienda y Empleo;Secretaría General Técnica de Economía, Hacienda y Empleo
2006;1202;D.G. Presupuestos,Tesorería y Patrimonio;Dirección General de Presupuestos,Tesorería y Patrimonio
2006;12020;D.G. Presupuestos,Tesorería y Patrimonio;Dirección General de Presupuestos,Tesorería y Patrimonio
2006;1203;Dirección General de Política Económica;Dirección General de Política Económica
2006;12030;Dirección General de Política Económica;Dirección General de Política Económica
2006;1204;Intervención General;Intervención General
2006;12040;Intervención General;Intervención General
2006;1205;Dirección General de Tributos;Dirección General de Tributos
2006;12050;Dirección General de Tributos;Dirección General de Tributos
2006;1206;Dirección General de la Función Pública;Dirección General de la Función Pública
2006;12060;Dirección General de la Función Pública;Dirección General de la Función Pública
2006;1207;D.G. de Trabajo e Inmigración;Dirección General de Trabajo e Inmigración
