EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;IMPORTE
2006;73000;470009;72003;Otras subvenciones de empresas;39.652,00
2006;73000;470009;72004;Otras subvenciones de empresas;12.392,00
2006;73000;470009;72007;Otras subvenciones de empresas;42.800,00
2006;73000;480009;72005;Otras subv. familias,instituciones sin fines lucro;40.000,00
2006;73000;480009;72006;Otras subv. familias,instituciones sin fines lucro;5.800,00
2006;73000;520000;91003;Intereses;18.000,00
2006;73000;706009;39030;Otras subvenciones de capital;50.000,00
2006;73000;707001;39037;Otras subvenciones de Educación, Cultura y Deporte;825.070,00
2006;73000;709009;39020;Otras subvenciones de capital;703.860,00
2006;73000;770009;72001;Otras transferencias de empresas;68.909,00
2006;74000;318009;91003;Otros ingresos por Prestación de Servicios C.T.U.;35.000,00
2006;74000;552002;91003;De producción agraria;120.000,00
2006;74000;552005;91003;Aprovechamientos de fincas agrícolas;150.000,00
2006;74000;705050;39034;Proyectos de investigación del I.N.I.A.;180.000,00
2006;74000;705050;39035;Proyectos de investigación del I.N.I.A.;830.592,00
2006;74000;705050;91003;Proyectos de investigación del I.N.I.A.;800.000,00
2006;74000;707003;91003;Plan Nacional de Investigación;400.000,00
2006;74000;770009;91003;Otras transferencias de empresas;600.000,00
2006;74000;792000;91003;Fondo Europeo de Desarrollo Regional. Objetivo 2;570.000,00
2006;74000;792001;91003;Iniciativa Comunitaria INTERREG III;30.000,00
2006;74000;793000;11002;Fondo Social Europeo- Objetivo 3;75.000,00
2006;75000;322016;91003;Tasa 16- Serv.Exped. licencias caza y pesca;2.082.277,97
2006;75000;322017;91003;Tasa 17- Serv.fac.advos monte,aprov.for.,vías pec.;84.000,00
2006;75000;322026;91003;Tasa 26.-Servicios de gestión de los cotos;625.000,00
2006;75000;322028;91003;Tasa 28.-Serv.Admin. Protección del Medio Ambiente;221.000,00
2006;75000;322029;91003;Tasa 29.-Serv.Admin. conservación Biodiversidad;15.000,00
2006;76000;396010;91003;Ingresos diversos Bco Sangre y Tejidos de Aragón;1.350.000,00
;;;;;
