COD_LOCALE_PROGETTO;DATA_AGGIORNAMENTO;TOT_PAGAMENTI;OC_TOT_PAGAMENTI_RENDICONTAB_UE;OC_TOT_PAGAMENTI_FSC;OC_TOT_PAGAMENTI_PAC
1CL99241;20121031;294198,19;294198,19;0;0
1CL99241;20121231;294198,19;294198,19;0;0
1CL99241;20130228;358207,13;358207,13;0;0
1CL99241;20130430;358207,13;358207,13;0;0
1CL99241;20130630;358207,13;358207,13;0;0
1CL99241;20130831;399805,29;399805,29;0;0
1CL99241;20131031;399805,29;399805,29;0;0
1CL99241;20131231;399805,29;399805,29;0;0
1CL99241;20140228;399805,29;399805,29;0;0
1CL99241;20140430;399805,29;399805,29;0;0
1CL99241;20140630;399805,29;399805,29;0;0
1CL99241;20140831;399805,29;399805,29;0;0
1CL99241;20141031;399805,29;399805,29;0;0
1CL99241;20141231;399805,29;399805,29;0;0
1CL99241;20150228;399805,29;399805,29;0;0
1CL99241;20150430;399805,29;399805,29;0;0
1CL99241;20150630;399805,29;399805,29;0;0
1CL99241;20150831;399805,29;399805,29;0;0
1CL99241;20151031;399805,29;399805,29;0;0
1CL99241;20151231;399805,29;399805,29;0;0
1CL99242;20091231;0;0;0;0
1CL99242;20100228;62775;62775;0;0
1CL99242;20100430;62775;62775;0;0
1CL99242;20100630;62775;62775;0;0
1CL99242;20100831;62775;62775;0;0
1CL99242;20101031;121214,84;121214,84;0;0
1CL99242;20101231;190267,34;190267,34;0;0
1CL99242;20110228;190267,34;190267,34;0;0
1CL99242;20110430;190267,34;190267,34;0;0
1CL99242;20110630;190267,34;190267,34;0;0
1CL99242;20110831;190267,34;190267,34;0;0
1CL99242;20111031;190267,34;190267,34;0;0
1CL99242;20111231;190267,34;190267,34;0;0
1CL99242;20120229;190267,34;190267,34;0;0
1CL99242;20120430;331818,2;331818,2;0;0
1CL99242;20120630;331818,2;331818,2;0;0
1CL99242;20120831;331818,2;331818,2;0;0
1CL99242;20121031;331818,2;331818,2;0;0
1CL99242;20121231;331818,2;331818,2;0;0
1CL99242;20130228;400000;400000;0;0
1CL99242;20130430;400000;400000;0;0
1CL99242;20130630;400000;400000;0;0
1CL99242;20130831;400000;400000;0;0
1CL99242;20131031;400000;400000;0;0
1CL99242;20131231;400000;400000;0;0
1CL99242;20140228;400000;400000;0;0
1CL99242;20140430;400000;400000;0;0
1CL99242;20140630;400000;400000;0;0
1CL99242;20140831;400000;400000;0;0
1CL99242;20141031;400000;400000;0;0
1CL99242;20141231;400000;400000;0;0
1CL99242;20150228;400000;400000;0;0
1CL99242;20150430;400000;400000;0;0
1CL99242;20150630;400000;400000;0;0
1CL99242;20150831;400000;400000;0;0
1CL99242;20151031;400000;400000;0;0
1CL99242;20151231;400000;400000;0;0
1CL99243;20091231;0;0;0;0
1CL99243;20100228;62775;62775;0;0
1CL99243;20100430;62775;62775;0;0
1CL99243;20100630;62775;62775;0;0
1CL99243;20100831;62775;62775;0;0
1CL99243;20101031;113740,82;113740,82;0;0
1CL99243;20101231;182793,32;182793,32;0;0
1CL99243;20110228;182793,32;182793,32;0;0
1CL99243;20110430;182793,32;182793,32;0;0
1CL99243;20110630;182793,32;182793,32;0;0
1CL99243;20110831;182793,32;182793,32;0;0
1CL99243;20111031;182793,32;182793,32;0;0
1CL99243;20111231;182793,32;182793,32;0;0
1CL99243;20120229;182793,32;182793,32;0;0
1CL99243;20120430;331516,17;331516,17;0;0
1CL99243;20120630;331516,17;331516,17;0;0
1CL99243;20120831;331516,17;331516,17;0;0
1CL99243;20121031;331516,17;331516,17;0;0
1CL99243;20121231;331516,17;331516,17;0;0
1CL99243;20130228;398698,59;398698,59;0;0
1CL99243;20130430;398698,59;398698,59;0;0
1CL99243;20130630;398698,59;398698,59;0;0
1CL99243;20130831;398698,59;398698,59;0;0
1CL99243;20131031;398698,59;398698,59;0;0
1CL99243;20131231;398698,59;398698,59;0;0
1CL99243;20140228;398698,59;398698,59;0;0
1CL99243;20140430;398698,59;398698,59;0;0
1CL99243;20140630;398698,59;398698,59;0;0
1CL99243;20140831;398698,59;398698,59;0;0
1CL99243;20141031;398698,59;398698,59;0;0
1CL99243;20141231;398698,59;398698,59;0;0
1CL99243;20150228;398698,59;398698,59;0;0
1CL99243;20150430;398698,59;398698,59;0;0
1CL99243;20150630;398698,59;398698,59;0;0
1CL99243;20150831;398698,59;398698,59;0;0
1CL99243;20151031;398698,59;398698,59;0;0
1CL99243;20151231;398698,59;398698,59;0;0
1CL99244;20091231;0;0;0;0
1CL99244;20100228;70200;70200;0;0
1CL99244;20100430;70200;70200;0;0
1CL99244;20100630;70200;70200;0;0
1CL99244;20100831;70200;70200;0;0
1CL99244;20101031;70200;70200;0;0
1CL99244;20101231;137252,5;137252,5;0;0
1CL99244;20110228;206597,78;206597,78;0;0
1CL99244;20110430;206597,78;206597,78;0;0
1CL99244;20110630;206597,78;206597,78;0;0
1CL99244;20110831;206597,78;206597,78;0;0
1CL99244;20111031;206597,78;206597,78;0;0
1CL99244;20111231;206597,78;206597,78;0;0
1CL99244;20120229;206597,78;206597,78;0;0
1CL99244;20120430;270225,28;270225,28;0;0
1CL99244;20120630;334273,92;334273,92;0;0
1CL99244;20120831;334273,92;334273,92;0;0
1CL99244;20121031;334273,92;334273,92;0;0
1CL99244;20121231;334273,92;334273,92;0;0
1CL99244;20130228;334273,92;334273,92;0;0
1CL99244;20130430;334273,92;334273,92;0;0
1CL99244;20130630;334273,92;334273,92;0;0
1CL99244;20130831;397901,42;397901,42;0;0
1CL99244;20131031;397901,42;397901,42;0;0
1CL99244;20131231;397901,42;397901,42;0;0
1CL99244;20140228;397901,42;397901,42;0;0
1CL99244;20140430;397901,42;397901,42;0;0
1CL99244;20140630;397901,42;397901,42;0;0
1CL99244;20140831;397901,42;397901,42;0;0
1CL99244;20141031;397901,42;397901,42;0;0
1CL99244;20141231;397901,42;397901,42;0;0
1CL99244;20150228;397901,42;397901,42;0;0
1CL99244;20150430;397901,42;397901,42;0;0
1CL99244;20150630;397901,42;397901,42;0;0
1CL99244;20150831;397901,42;397901,42;0;0
1CL99244;20151031;397901,42;397901,42;0;0
1CL99244;20151231;397901,42;397901,42;0;0
1CL99245;20100228;0;0;0;0
1CL99245;20100430;62775;62775;0;0
1CL99245;20100630;62775;62775;0;0
1CL99245;20100831;62775;62775;0;0
1CL99245;20101031;62775;62775;0;0
1CL99245;20101231;121269,87;121269,87;0;0
1CL99245;20110228;190322,37;190322,37;0;0
1CL99245;20110430;190322,37;190322,37;0;0
1CL99245;20110630;190322,37;190322,37;0;0
1CL99245;20110831;190322,37;190322,37;0;0
1CL99245;20111031;259149,05;259149,05;0;0
